dim1,dim2,dim3,prompt
-1.2163756,13.87099,4.398679,a table sawing machine on a white background
-0.7566395,11.95371,3.9609485,a brown leather recliner chair on a white background
-0.0784382,11.0155525,6.555927,a black and white photo of a dog team pulling a sled
1.4579161,13.107186,5.3101044,a pair of key chains with a police officer on them
-1.8285358,11.16222,5.0582004,this is a computer rendering of a house
-2.3792696,10.333822,5.0461526,a view of the grand canyon from the top of a cliff
-2.0441437,10.196695,5.8153524,a drawing of a tall tower with a clock on top of it
-0.9200222,13.6286335,3.8755515,a close up of a sandwich on a plate
-0.41645864,11.964037,5.9201436,the cover of jude the obscure by thomas hardy
-0.17103262,11.444774,6.4648604,an advertisement for shredded wheat with a picture of a man
0.8828333,12.960762,5.1513963,a person holding a gold necklace with a lion on it
-1.7145637,13.775744,3.8834844,a bunch of cupcakes sitting on top of a table
1.4277277,11.422677,4.3754697,a mountain bike is shown against a white background
0.26329613,10.941016,6.1431475,a black and white photo of a cell phone
-0.793526,11.852017,1.5900271,a bedroom with pink walls and a white bed
1.2526591,12.81885,4.7324967,a gallon of red diamond syrup on a white background
-1.9329951,10.045422,5.357455,a yellow taxi driving down a street next to a tall building
-3.4846158,11.690119,5.1698956,boats are docked in the water next to a lighthouse
-2.1412454,10.107602,5.5060225,a city street covered in snow next to tall buildings
-2.0560603,10.220794,5.81166,a large building with a clock tower on top of it
0.12491618,11.379331,4.53026,a white building with a green fence and trees in the background
-0.087674424,10.861409,6.5417924,an old black and white photo of a building
-2.4455519,11.125009,6.4055295,a person riding a snowmobile down a snow covered slope
-1.9938805,12.525945,2.2274866,a pool table with several balls and a cue
-0.7513162,12.4552555,4.843944,a purple flower sitting on top of a green leaf
-1.918329,13.101762,5.334906,a group of people sitting around a table in front of a blackboard
-2.6091266,7.239973,4.1949396,a bar chart that shows the number of people who are using voice - activated systems
-0.49796575,11.700632,2.0902805,a bed with a black and white comforter and pillows
-0.3620526,13.221206,2.6234581,a kitchen cabinet with a drawer full of items
-2.220979,9.551859,5.0017514,a map of a campus with several buildings
0.30105844,13.314457,7.3467712,a screenshot of a woman with red hair
-2.9297957,11.738881,5.2232957,a water heater with a hose attached to it
-0.70726365,13.041798,4.5606403,a lot of pumpkins and flowers in pots
-0.61104214,13.002262,4.4791565,a long table with white flowers and candles
1.162942,13.2677765,7.0066934,a woman wearing a silver skirt and black top
-1.6962177,11.9428625,1.6661254,a room with several chairs and a desk in it
0.83122635,11.598571,4.965011,the champion logo on a blue background
0.29055738,13.482407,7.3798914,a woman with blonde and pink hair posing for a picture
-1.6026738,13.497789,3.980238,a muffin sitting on top of a wooden table
-0.5647879,13.156316,3.204095,a table with a drawer on top of it
0.68902504,12.253845,7.501111,a close up of a person wearing a suit and tie
-2.0586572,12.931781,7.26341,a group of women standing next to each other holding quilts
-2.0855062,13.077185,7.0106754,a man and woman standing next to each other
0.3772006,13.122941,7.0439377,a baby girl's dress with a butterfly applique
-1.2442594,12.985039,7.15347,a woman standing in front of a white background
-1.0080746,12.031864,3.774246,a wooden desk with a black leather chair
-0.7784552,11.90677,4.0001245,a brown leather sectional sofa with recliners
-2.0949721,11.850814,6.7117944,a man holding a sign that says keep calm and never give up
0.587548,12.464399,6.0245495,a black jacket with a skull on it
-2.3724437,7.397522,4.1567388,a line graph showing the temperature and temperature of the greenhouse
-1.8646281,10.4598,5.1040454,a christmas market in the middle of a town
-1.2239803,13.721794,3.665556,a plate with a sandwich and chips on it
-2.2922974,7.4812603,4.1487746,a graph showing wage and salariess in different countries
-3.331185,11.677732,5.2072315,a body of water next to a wooden dock
0.9800386,12.024724,4.692754,a small pink handbag on a white background
0.6043026,12.918479,4.758756,a close up of a bracelet with a heart on it
-1.1543138,13.196479,7.111353,a little girl standing with her hands on her hips
-1.598662,12.409502,0.20548981,a living room filled with furniture and a large window
-0.21258397,11.8729105,6.8084927,a man signing autographs for a young boy
1.297434,13.007942,4.748245,an antique ruby and diamond ring
-2.1046855,12.244917,6.7635813,a man standing at a podium in front of a microphone
0.031851638,11.535939,6.8165812,a black and white photo of a man in uniform playing a trumpet
1.2266202,12.229213,4.085837,a camera with a lens attached to it
0.48388734,12.893983,7.944659,a red and white dress on a mannequin mannequin mannequin mannequin mannequin mannequin mann
0.5464725,12.136424,7.450582,a man in a suit and tie posing for a picture
-2.6015544,11.46606,5.9662595,a tractor spraying a field with a sprayer
-0.30761665,13.242705,2.3553205,a kitchen with white cabinets and white appliances
-2.6289582,11.797971,6.9837933,a group of people walking down a street holding signs
0.8648836,12.703218,5.161745,a small pink purse with a chain strap
1.135541,11.590095,4.3741474,a blue hose fitting on a white background
-2.5746882,12.439215,7.149375,a group of people standing next to each other in a courtroom
0.17949735,13.1525345,7.196793,a painting of a woman in a colorful dress
-0.43882972,10.578812,5.1079483,a close up of a car with flames on it
-0.578963,13.160386,6.869206,a woman and a child smiling for a picture
-0.61840147,12.304289,5.038084,a painting of three white orchids with green leaves
-3.2362258,11.651246,5.307166,a yellow raft floating on top of a body of water
0.19643594,13.207099,4.176912,a person in blue gloves is reaching for something in a box
-0.3204446,13.268383,2.3762746,a kitchen with black cabinets and white counter tops
-2.7394295,11.895879,5.084881,fluval power filterr for aquariums
-1.6382829,12.00678,1.653921,a classroom with red chairs and a projector screen
-0.15284804,13.052242,7.4642816,a woman in a wedding dress standing in front of a wall
-2.4156766,11.064849,6.3176246,a pile of snow sitting on top of a snow covered ground
-0.7831477,11.652216,5.7004204,a painting of a train track going under a bridge
0.28825685,13.155377,7.2050557,a black and white photo of a woman in a dress
0.8253641,11.266543,4.3474827,a black 2019 subaruna parked in front of a white background
0.7508088,12.608386,5.3882203,a helmet with the pittsburgh steelers logo on it
-0.5575931,12.050199,5.80404,a painting of a man holding a bird and flowers
-0.4489698,12.711998,5.2045207,a knitted skull sitting on top of a blue blanket
-0.82073975,13.674011,4.8575077,a row of glasses filled with drinks on a table
-0.07060449,10.741877,6.2332215,a red and white restaurant website design
-0.019659005,10.812791,6.633143,an old black and white photo of a town
-1.009676,11.389311,1.7884055,a bed room with a neatly made bed and a ceiling fan
-1.5739377,13.152734,3.8667223,a wooden table sitting on top of a wooden floor
-0.7592174,10.332631,4.8880143,the interior of a car is clean and ready to be used
-0.87987965,12.928138,1.9775751,a kitchen with a stove top oven sitting next to a window
-3.4200377,11.735239,5.2073193,a couple of boats that are docked in the water
0.50280756,13.318112,4.6804447,a close up of a person holding a passport
-1.8219002,12.425413,1.925686,a dinning room with a table and chairs
-0.9931103,12.68761,1.8053282,"a bathroom with a toilet, sink, and shower"
0.5560182,11.598257,4.652308,a green hat on a white background
0.29619712,12.77994,3.2337425,institutional buying and selling by quarter for kt ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny
-2.598799,12.201083,7.0895815,a group of people standing on top of a stage
-1.8853016,10.809921,4.2511477,a patio with a fire place and steps leading up to it
0.6867348,13.134831,7.101279,a baby girl's pink dress and white pants
-0.88404256,13.507203,4.63495,a wine bottle decorated with berries and greenery
-2.334618,10.059237,5.025154,a view of a village in the mountains
-2.2343504,12.556477,7.098428,a couple of fake cows standing next to each other
-1.0250566,11.707456,2.0246518,a bed sitting in a bedroom next to a window
-1.1935198,11.888014,2.6851237,a hallway decorated with christmas lights and decorations
1.3155371,12.134041,4.1810966,a wooden model of a boat on a white surface
-2.440988,11.218806,6.117726,a construction worker standing in front of a building under construction
0.3528435,13.401679,7.279558,a woman wearing a bra and panties posing for the camera
-1.6590436,12.459394,-0.1263568,a living room filled with furniture and a fire place
-1.7992479,11.669045,2.0001252,days inn by wyndham
-2.863316,11.99296,5.8116975,a man riding a surfboard on top of a wave
-2.7058425,12.434511,6.7008786,a group of people that are playing drums
-2.1809998,10.033538,5.3839803,a drawing of a city street with a lot of tall buildings
-1.5986516,12.340373,-0.80093014,a living room filled with furniture and a flat screen tv
-1.5003716,13.839741,4.499511,a machine that is sitting on top of a table
-1.352797,13.148363,5.7002797,a woman sitting at a table in front of a window
-3.4538498,11.680832,5.190611,a white catamaran docked at a dock
-1.7244298,12.537021,0.4452844,a living room filled with furniture and a staircase
-0.59891254,13.402639,4.947447,a bottle of courvoisir xo
-2.736107,12.4208,6.9931855,a group of people standing in a room
-0.7962214,12.999623,2.0210667,a kitchen with a stove top oven next to a refrigerator
-1.0983382,13.7124,4.6644216,a bottle of champagne sitting on top of a table
-1.4302082,12.951129,7.101944,a woman standing in front of a microphone
-1.9546086,13.546105,4.5401435,a bunch of balloons sitting on top of a table
-1.5306336,13.908515,4.5292625,an old typewriter sitting on top of a table
0.88656867,12.596956,6.075194,a blue sweater with a zipper on the chest
-2.0468624,10.176901,5.4283133,a very tall building with a lot of windows
-2.142514,12.251997,6.898144,a man standing at a podium giving a speech
0.1965429,10.792391,5.4829383,a close up of a car charger with a cable
-0.72386277,11.988738,4.072596,a brown leather couch sitting on top of a white floor
1.3183953,11.728172,4.32694,a close up of a pokemon figure on a white background
-0.9656504,11.141505,1.7084069,a bed room with a neatly made bed and a flat screen tv
-0.9898656,12.079186,1.3907658,a room with wood floors and white walls
-1.9585735,13.678615,5.5016026,a group of four remote controls sitting next to each other
-0.70413315,13.4619875,4.0323133,a pen with a pen tip next to it
1.3116868,12.784985,4.5710635,a diamond ring on a white surface
-0.48522845,12.020109,3.905707,a white office chair sitting on top of a white floor
0.8798917,12.912782,5.216365,a blue and yellow striped glass pendant on a silver chain
0.889752,13.036297,5.0523944,a silver ring with a purple stone in the center
-1.4800118,13.78029,4.3991776,a bunch of rings sitting on top of a table
-3.1780071,11.466289,5.270809,the sun is setting over a body of water
0.018200485,10.118329,4.695512,a black and silver motorcycle parked on a white surface
-1.8394338,12.418907,5.690666,a man holding a dog in front of a cabin
0.5476178,13.266055,7.2335215,a woman wearing a black and white dress
-0.9262433,11.028453,5.9470587,a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture
-1.8907051,11.9809885,5.2619886,a young boy laying in the grass with his hands on his face
-1.7081448,13.759193,3.8064983,a person is decorating a cake with icing
-1.6255394,10.762716,4.4736514,a spiral staircase in a home with a skylight
-0.5505528,11.98368,4.5058665,a fender guitar amplifier sitting on top of a white background
-0.048828043,10.8971615,6.576724,a black and white photo of a tree
-0.9085515,10.537727,5.434596,a close up of a car dashboard with a clock
-0.8240651,13.443818,4.6041965,a table topped with glass bottles filled with cactus and llamas
0.899889,11.604249,4.4038897,a black briefcase on a white background
-1.288463,13.026615,5.7294426,a woman sitting on a couch holding a microphone
-2.0400677,13.028734,5.4372983,a group of people sitting on the floor in a room
1.2156324,13.3971615,6.9919286,a woman wearing black stockings and high heels
-0.52329737,11.708438,2.0912404,a bed with a brown comforter and pillows
0.39465484,12.964109,7.516645,a white dress with green buttons on a mannequin
-0.830271,13.701391,4.7493625,two glasses of wine on a table with a view of a lake
0.6442812,12.200011,7.545413,a close up of a person wearing a suit and tie
-2.628138,12.454529,7.0131984,a couple of people standing in a room
-3.1062937,10.176757,4.9630094,a large passenger jet taking off from an airport runway
-0.40287417,13.421502,3.1917808,a box filled with assorted canned food items
-1.6118138,12.356388,-0.7680204,a living room filled with furniture and a flat screen tv
-2.6596606,12.794523,6.336954,a gym mat with a kettlebell on top of it
-1.9586799,12.382199,2.1044753,a patio with a table and chairs and a ceiling fan
-1.6039586,12.443445,0.92596185,a couch and ottoman in a room
-1.307901,12.320545,2.9212515,a child's playroom with wooden toys
1.4401802,11.79857,4.3730726,a close up of a single fiber module
-1.99623,13.692305,5.6045203,a couple of hoses sitting next to each other
-1.5716686,12.450333,5.2223682,a cartoon of a man sitting on top of a chair
-0.9689615,11.440144,1.8559921,a bed room with a neatly made bed
1.396111,13.168992,5.1294947,a person holding a pair of earrings in their hand
-0.22105508,13.223904,3.165056,a shelf filled with lots of different colored roofing sheets
-2.2588067,10.719317,5.0751495,a small waterfall in the middle of a forest
-0.4400455,11.68909,2.146841,a bed with a gray comforter and pillows
-0.065110564,10.847495,6.5809555,a black and white photo of a harbor
-2.66273,12.373806,6.302102,a group of young men playing a game of soccer
-0.9921814,13.57687,5.158476,a woman sitting at a table with a row of beer glasses in front of her
-1.714189,11.749866,1.9075233,the holiday inn hotel and suites
1.1048179,13.213554,7.0844145,a woman wearing a red shirt and black skirt
1.5922438,12.239659,5.410861,a pair of brown hiking boots on a white background
-0.67736024,10.074033,4.879836,a blue sports car parked in a dirt lot
-1.7288404,12.433663,6.532481,a man standing in front of a red barn
-2.490266,9.97401,5.10015,an aerial view of the city of seattle
1.263359,11.576885,4.3651366,an image of a tent on a white background
-1.8692914,11.458263,6.0318294,a sign that says home is where my plants are
1.1736718,12.894378,6.875232,a man in a pink shirt and blue pants
-0.834342,13.068668,7.358732,two women looking at shoes in a store
-2.592075,11.752154,7.0253153,a group of people walking down a street holding american flags
0.34754053,10.364612,4.64206,a red motorcycle on a white background
-2.6153755,12.145335,7.1324296,a group of children standing in front of a building
-2.423302,11.142301,5.740889,a herd of deer standing on top of a grass covered field
0.41621128,13.1323395,7.3499904,a woman in a long white dress
-2.0405436,13.456393,6.781026,a boy and a girl talking to each other
-0.23418899,13.214761,2.4914954,a set of three white cupboards next to each other
0.79145676,12.961568,4.821111,a close up of a bracelet on a pile of rocks
-2.6090605,11.849358,5.8838286,two people setting up a tent near a lake
0.8949005,13.253538,7.032929,a woman is wearing a pink outfit and holding a purse
-1.6886014,13.801494,3.7226086,three cupcakes with white frosting and red sprinkles
-1.4613714,13.927306,4.554335,a machine that is sitting on top of a table
-2.0599873,13.425002,6.8000197,a man and a woman kissing in a room
-1.3295522,12.077521,2.7446575,a baby sitting in a high chair playing with a toy
-2.635281,11.834964,4.8442316,a green inflatable frog floating in a pool
-0.47837147,10.006578,4.773481,two jeeps are parked on a rocky hill
1.4712194,12.808111,5.857714,a pair of jeans on a hanger
-0.2915211,13.301852,6.7796674,a smiling woman holding a bag of food
1.0931506,12.505817,6.8826637,a walk - in closet with lots of clothes
-0.8525432,12.128623,4.401075,a guitar sitting on top of a black couch
-0.22670154,13.234032,3.4397774,a black case with a handle and latches
0.92965025,11.510313,4.3467646,a mexican flag on a white background
0.4594594,12.89833,7.598954,a close up of a mannequin wearing a red hat
-0.8980123,13.329362,4.5397987,an empty office with lots of glass walls
0.08189325,13.360412,7.342743,a young girl in a black dress posing for the camera
0.8484724,11.702216,4.3640842,a black toilet bag on a white background
1.188182,12.934634,6.8765807,a woman wearing a white shirt and black pants
-3.286508,11.721701,5.3902683,a group of sailors standing in front of a large battleship
-2.5090349,12.436554,7.1890407,a group of people standing next to each other
-2.6497338,11.497362,6.0876923,a firefighter spraying water on a house
