Corresponding LLM_Text	Cluster
A Close Up Of A Person Wearing Suit And Tie Smiling	0
A black man and woman stand side by side during a celebration	1
The model posing elegantly in her new outfit, highlighting the softness of her jeans and the delicate beauty of her coral blouse	0
A beautiful young girl stands confidently with one hand rested on her right hip as she gazes into the distance; she sports a cute outfit comprising a pink t-shirt and crisp white trousers; around her	0
A handsome property manager poses for a professional headshot while sporting his finest suit and tie combo!	0
A  woman is posing in front if a plain backdrop while wearing a pair of black pantyhose along with high heeled shoes, emphasizing her curves through form-fitting garment	0
A woman stands proudly wearing black and white floral print dress.	0
A cozy blue sectional couch sits atop a beautiful hardwood floor amidst modern living space.	1
A patio with a table and seats and a roof fan	1
A black fitness mat lies on the ground beside a black kettle bell	0
A cozy living room with comfy furniture, a TV, and plenty of natural light 🏠	1
A cozy bedroom in a log cabin with a plush bed and modern TV for relaxation after a long day of exploration	1
A black and silver motorcycle parks on a white surface.	0
