dim1,dim2,dim3,prompt
10.4951515,-2.3955438,-5.5898767,a table sawing machine on a white background
-4.465338,9.126205,-3.333181,a brown leather recliner chair on a white background
18.876324,-8.530132,13.862184,a black and white photo of a dog team pulling a sled
-3.6549506,-21.577888,-18.561523,a pair of key chains with a police officer on them
16.558756,11.605576,4.7587504,this is a computer rendering of a house
27.730215,-0.718039,13.191151,a view of the grand canyon from the top of a cliff
11.448749,5.7131352,5.278663,a drawing of a tall tower with a clock on top of it
-2.5574203,-2.0007322,-27.497478,a close up of a sandwich on a plate
-9.040569,-23.570183,19.536894,the cover of jude the obscure by thomas hardy
-7.0886874,-11.078546,14.519133,an advertisement for shredded wheat with a picture of a man
-2.8519235,-27.992533,-11.2468195,a person holding a gold necklace with a lion on it
8.89538,-0.2915247,-26.65754,a bunch of cupcakes sitting on top of a table
9.524087,-17.797262,15.841239,a mountain bike is shown against a white background
19.143377,-17.033915,6.1297417,a black and white photo of a cell phone
-18.84014,18.02969,-12.457726,a bedroom with pink walls and a white bed
7.7142196,-17.549603,-6.7447495,a gallon of red diamond syrup on a white background
12.345483,1.8249354,19.002424,a yellow taxi driving down a street next to a tall building
25.29925,-1.1302205,26.985298,boats are docked in the water next to a lighthouse
16.587845,4.852457,15.367803,a city street covered in snow next to tall buildings
10.803966,7.71436,8.514829,a large building with a clock tower on top of it
11.373772,10.228343,16.721115,a white building with a green fence and trees in the background
17.042376,-0.6277978,10.734562,an old black and white photo of a building
-1.0779501,5.4488583,30.716627,a person riding a snowmobile down a snow covered slope
12.959163,1.117509,-17.491207,a pool table with several balls and a cue
13.599154,-17.105568,-18.250483,a purple flower sitting on top of a green leaf
-6.371101,13.869447,9.142049,a group of people sitting around a table in front of a blackboard
26.31498,12.7851715,-3.737825,a bar chart that shows the number of people who are using voice - activated systems
-12.143802,19.148266,-19.177252,a bed with a black and white comforter and pillows
4.4480104,14.220388,-15.843301,a kitchen cabinet with a drawer full of items
24.249804,5.4636316,8.1148205,a map of a campus with several buildings
-33.526455,-22.519741,-6.1153197,a screenshot of a woman with red hair
23.538458,-17.170496,-7.8661118,a water heater with a hose attached to it
14.623957,-9.636153,-13.457395,a lot of pumpkins and flowers in pots
13.2708645,-5.6230607,-13.921561,a long table with white flowers and candles
-27.084734,-22.424042,-5.101988,a woman wearing a silver skirt and black top
4.3527045,15.376072,-0.47551316,a room with several chairs and a desk in it
16.746145,-26.953121,-2.1526217,the champion logo on a blue background
-35.725807,-19.476816,-5.944599,a woman with blonde and pink hair posing for a picture
7.1947165,3.0520787,-20.268208,a muffin sitting on top of a wooden table
3.288248,9.862835,-15.892445,a table with a drawer on top of it
-17.41482,-7.464814,2.5386822,a close up of a person wearing a suit and tie
-17.870481,6.397122,6.5614057,a group of women standing next to each other holding quilts
-24.277817,12.786644,13.277581,a man and woman standing next to each other
-23.062172,-10.665539,-12.635655,a baby girl's dress with a butterfly applique
-29.095665,-10.672059,6.280398,a woman standing in front of a white background
0.7536574,12.1647835,-2.3675215,a wooden desk with a black leather chair
-4.8090253,11.198985,-1.5451609,a brown leather sectional sofa with recliners
-16.835815,2.6744854,22.699207,a man holding a sign that says keep calm and never give up
-11.089012,-14.718604,-3.3815782,a black jacket with a skull on it
37.003143,9.145822,-6.331681,a line graph showing the temperature and temperature of the greenhouse
-0.3585167,32.989925,7.087982,a christmas market in the middle of a town
-2.1011457,-1.2283834,-29.883207,a plate with a sandwich and chips on it
24.54989,4.130341,-5.083231,a graph showing wage and salariess in different countries
24.56236,-0.51007503,23.568007,a body of water next to a wooden dock
-10.705607,-21.1582,-14.230175,a small pink handbag on a white background
1.8030213,-22.298227,-4.508691,a close up of a bracelet with a heart on it
-27.667326,-10.462779,-15.577635,a little girl standing with her hands on her hips
2.1140733,28.466452,0.32223737,a living room filled with furniture and a large window
-22.789463,6.3470936,18.88787,a man signing autographs for a young boy
4.800965,-23.57579,-13.478214,an antique ruby and diamond ring
-25.071762,-3.7900908,7.4418087,a man standing at a podium in front of a microphone
-10.600677,-8.015876,6.9146647,a black and white photo of a man in uniform playing a trumpet
7.5239835,-28.298388,6.789312,a camera with a lens attached to it
-20.576258,-9.184957,-6.300116,a red and white dress on a mannequin mannequin mannequin mannequin mannequin mannequin mann
-16.749504,-5.0403495,5.250705,a man in a suit and tie posing for a picture
28.754932,-18.434061,-7.681752,a tractor spraying a field with a sprayer
6.757428,21.173473,-16.063484,a kitchen with white cabinets and white appliances
-12.287001,7.260176,24.457985,a group of people walking down a street holding signs
-8.199956,-21.930922,-14.032399,a small pink purse with a chain strap
17.933125,-18.613483,-4.238604,a blue hose fitting on a white background
-16.606049,10.761563,12.374256,a group of people standing next to each other in a courtroom
-29.251139,-11.941346,-5.324305,a painting of a woman in a colorful dress
11.854177,-9.680335,14.863924,a close up of a car with flames on it
-37.94435,-15.960496,-8.073697,a woman and a child smiling for a picture
2.0738502,-10.678544,-1.185262,a painting of three white orchids with green leaves
15.925262,-0.25052112,29.815971,a yellow raft floating on top of a body of water
-9.42382,-15.488265,-24.91505,a person in blue gloves is reaching for something in a box
8.173569,20.459118,-12.466072,a kitchen with black cabinets and white counter tops
21.350521,-8.585373,-17.822655,fluval power filterr for aquariums
6.4709883,16.169607,1.7461822,a classroom with red chairs and a projector screen
-29.50798,-9.810902,1.028805,a woman in a wedding dress standing in front of a wall
0.7027925,8.179513,29.165474,a pile of snow sitting on top of a snow covered ground
21.554007,-12.672443,17.77787,a painting of a train track going under a bridge
-29.414394,-15.045574,-3.7999127,a black and white photo of a woman in a dress
8.09195,-6.737294,17.137619,a black 2019 subaruna parked in front of a white background
-6.8709764,-24.241976,-6.3308363,a helmet with the pittsburgh steelers logo on it
-2.0170953,-10.513092,-0.29017204,a painting of a man holding a bird and flowers
-11.829915,-12.705728,-5.054588,a knitted skull sitting on top of a blue blanket
4.700107,-3.3669035,-20.462852,a row of glasses filled with drinks on a table
20.07098,7.2691684,0.61148626,a red and white restaurant website design
19.834448,-1.118599,12.897108,an old black and white photo of a town
-13.181559,27.158012,-12.3559265,a bed room with a neatly made bed and a ceiling fan
4.3621984,4.376299,-15.437255,a wooden table sitting on top of a wooden floor
3.984308,-5.107432,13.994016,the interior of a car is clean and ready to be used
12.572878,28.089468,-8.070364,a kitchen with a stove top oven sitting next to a window
22.837519,-0.37446868,26.983667,a couple of boats that are docked in the water
-9.530814,-9.61356,-22.591991,a close up of a person holding a passport
4.1599445,20.25473,-0.8831008,a dinning room with a table and chairs
15.190847,23.068565,1.5498122,"a bathroom with a toilet, sink, and shower"
-16.245573,-18.152006,-1.2105993,a green hat on a white background
24.523767,12.528994,-13.047059,institutional buying and selling by quarter for kt ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny
-12.596117,-0.6056642,15.19203,a group of people standing on top of a stage
4.5636687,22.207504,14.275796,a patio with a fire place and steps leading up to it
-24.99311,-11.946466,-12.37309,a baby girl's pink dress and white pants
5.1312532,-10.855603,-19.836931,a wine bottle decorated with berries and greenery
23.41151,1.1537005,14.784937,a view of a village in the mountains
-3.124,-10.918638,8.796336,a couple of fake cows standing next to each other
-17.389141,19.426155,-8.009732,a bed sitting in a bedroom next to a window
-1.2017742,29.30834,7.281382,a hallway decorated with christmas lights and decorations
18.43422,-4.3674345,29.007765,a wooden model of a boat on a white surface
-1.3888845,4.974632,17.987213,a construction worker standing in front of a building under construction
-33.754627,-20.994875,0.7175984,a woman wearing a bra and panties posing for the camera
-2.7748508,20.626589,-3.443464,a living room filled with furniture and a fire place
-15.8816805,30.776466,-4.644037,days inn by wyndham
-4.4521356,-4.496528,28.361713,a man riding a surfboard on top of a wave
-8.764851,22.596243,17.285517,a group of people that are playing drums
19.219282,6.1628313,10.3639145,a drawing of a city street with a lot of tall buildings
-5.1426735,28.75477,-6.0799804,a living room filled with furniture and a flat screen tv
8.587468,3.7190504,-8.07632,a machine that is sitting on top of a table
-10.996569,-5.844134,-11.526819,a woman sitting at a table in front of a window
21.424946,-4.3538404,24.76357,a white catamaran docked at a dock
-7.155217,28.8249,3.436394,a living room filled with furniture and a staircase
6.7442923,-12.034469,-26.749613,a bottle of courvoisir xo
-14.533665,13.118983,9.9381895,a group of people standing in a room
12.552945,27.124493,-10.459909,a kitchen with a stove top oven next to a refrigerator
4.6133513,-7.2109694,-19.284155,a bottle of champagne sitting on top of a table
-26.667248,-3.4690058,4.4941883,a woman standing in front of a microphone
14.275362,-3.8705595,-24.109793,a bunch of balloons sitting on top of a table
4.5673447,3.1007705,-9.321265,an old typewriter sitting on top of a table
-11.861533,-17.721056,-8.727384,a blue sweater with a zipper on the chest
13.079945,9.86097,11.106597,a very tall building with a lot of windows
-24.034426,-4.1564794,9.445197,a man standing at a podium giving a speech
19.729067,-10.683329,3.0789206,a close up of a car charger with a cable
-7.290599,10.022477,-2.226216,a brown leather couch sitting on top of a white floor
6.677579,-19.553984,3.7052114,a close up of a pokemon figure on a white background
-8.300024,27.430054,-10.7056675,a bed room with a neatly made bed and a flat screen tv
1.42687,20.145193,-10.5174885,a room with wood floors and white walls
21.089443,-5.9875946,-6.038733,a group of four remote controls sitting next to each other
-6.0476704,-11.675593,-12.807119,a pen with a pen tip next to it
8.976688,-24.134624,-6.6110272,a diamond ring on a white surface
1.6666224,6.4288006,-1.8106025,a white office chair sitting on top of a white floor
3.8854616,-29.861166,-14.112366,a blue and yellow striped glass pendant on a silver chain
4.6708093,-26.174543,-10.350527,a silver ring with a purple stone in the center
13.601773,-0.70837265,-21.646101,a bunch of rings sitting on top of a table
19.098104,6.307665,20.407774,the sun is setting over a body of water
8.357128,-12.767538,22.135313,a black and silver motorcycle parked on a white surface
-2.1383004,-2.7357655,18.170126,a man holding a dog in front of a cabin
-26.656448,-16.673822,-2.1863437,a woman wearing a black and white dress
1.8822246,-5.1823378,3.7012453,a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture
-8.684536,4.460951,4.1959534,a young boy laying in the grass with his hands on his face
-14.189327,-0.58842295,-29.670603,a person is decorating a cake with icing
-9.355793,32.11561,2.7738178,a spiral staircase in a home with a skylight
10.156872,-5.999171,3.053639,a fender guitar amplifier sitting on top of a white background
23.836374,-2.1299505,9.327062,a black and white photo of a tree
7.918072,-6.940766,9.315154,a close up of a car dashboard with a clock
7.758004,-5.225954,-19.208677,a table topped with glass bottles filled with cactus and llamas
9.72074,-13.051447,-0.6857386,a black briefcase on a white background
-26.583927,0.07084856,0.52242374,a woman sitting on a couch holding a microphone
-7.8065667,18.484596,8.553821,a group of people sitting on the floor in a room
-27.571922,-24.34351,0.4113163,a woman wearing black stockings and high heels
-11.127537,21.901024,-22.272638,a bed with a brown comforter and pillows
-23.367294,-10.3752,-7.46342,a white dress with green buttons on a mannequin
1.2769156,-7.168833,-21.326399,two glasses of wine on a table with a view of a lake
-19.31943,-5.7566643,1.831442,a close up of a person wearing a suit and tie
-16.5066,13.785884,8.3993225,a couple of people standing in a room
25.168856,17.467806,17.684448,a large passenger jet taking off from an airport runway
2.1960094,-14.244813,-25.453539,a box filled with assorted canned food items
-3.8998852,31.735792,-5.8820233,a living room filled with furniture and a flat screen tv
-9.490228,10.645582,-24.137707,a gym mat with a kettlebell on top of it
7.1259456,21.076744,8.170106,a patio with a table and chairs and a ceiling fan
-5.8478823,14.857976,-4.239413,a couch and ottoman in a room
