dim1,dim2,dim3,prompt
5.8693852,3.4995005,5.1038504,a table sawing machine on a white background
3.1430464,2.832054,5.492499,a brown leather recliner chair on a white background
5.188595,5.3882585,5.5714726,a black and white photo of a dog team pulling a sled
4.3292284,4.169451,3.1267424,a pair of key chains with a police officer on them
5.677333,5.3642025,6.8735633,this is a computer rendering of a house
5.310458,5.6138616,7.1935096,a view of the grand canyon from the top of a cliff
5.73694,5.4167743,6.637014,a drawing of a tall tower with a clock on top of it
4.8512187,2.3485596,3.748793,a close up of a sandwich on a plate
3.9491994,4.5797296,5.134632,the cover of jude the obscure by thomas hardy
3.472302,4.7374444,5.2639666,an advertisement for shredded wheat with a picture of a man
4.4387827,4.498251,2.901619,a person holding a gold necklace with a lion on it
4.611026,2.6081362,4.077314,a bunch of cupcakes sitting on top of a table
6.6572194,5.2976804,5.0429344,a mountain bike is shown against a white background
6.1436934,4.1647267,3.9521453,a black and white photo of a cell phone
2.529293,1.2436157,5.4666777,a bedroom with pink walls and a white bed
5.132119,4.1148634,3.7170084,a gallon of red diamond syrup on a white background
6.1077437,5.487797,6.515913,a yellow taxi driving down a street next to a tall building
4.2661133,5.820961,7.566066,boats are docked in the water next to a lighthouse
5.751058,5.7909985,6.845371,a city street covered in snow next to tall buildings
5.686062,5.326183,6.6469293,a large building with a clock tower on top of it
5.3901744,5.0119133,6.832033,a white building with a green fence and trees in the background
5.2395244,5.432172,6.6050344,an old black and white photo of a building
5.5528107,5.7445617,6.10577,a person riding a snowmobile down a snow covered slope
5.129507,2.4945264,4.663963,a pool table with several balls and a cue
4.241136,3.4178777,4.347471,a purple flower sitting on top of a green leaf
2.9308243,3.7331371,7.0607615,a group of people sitting around a table in front of a blackboard
6.5764666,4.900292,9.121996,a bar chart that shows the number of people who are using voice - activated systems
2.4901867,1.8707569,5.2229023,a bed with a black and white comforter and pillows
3.9920866,1.7232504,5.186139,a kitchen cabinet with a drawer full of items
5.903489,5.4876676,7.604971,a map of a campus with several buildings
1.6618115,5.6447973,3.2087145,a screenshot of a woman with red hair
5.4347334,4.543058,4.9379396,a water heater with a hose attached to it
4.1729636,3.02466,4.6400466,a lot of pumpkins and flowers in pots
4.296017,2.938594,4.522448,a long table with white flowers and candles
1.7891089,5.945957,2.98643,a woman wearing a silver skirt and black top
3.9505525,2.0490954,6.1508,a room with several chairs and a desk in it
4.870271,5.1491365,4.523548,the champion logo on a blue background
1.6084974,5.5306263,3.1781955,a woman with blonde and pink hair posing for a picture
4.744337,2.5209496,4.3049817,a muffin sitting on top of a wooden table
4.1748466,1.9680935,5.0382953,a table with a drawer on top of it
2.7521448,5.1920466,5.1146855,a close up of a person wearing a suit and tie
2.3446944,4.73171,7.0930915,a group of women standing next to each other holding quilts
1.7820462,4.798543,6.6694584,a man and woman standing next to each other
2.6596024,5.3870444,3.838272,a baby girl's dress with a butterfly applique
2.1391191,5.526724,4.0552497,a woman standing in front of a white background
3.9023266,2.1308131,6.0443025,a wooden desk with a black leather chair
2.9720929,2.6376088,5.6431956,a brown leather sectional sofa with recliners
2.971662,5.146492,6.529627,a man holding a sign that says keep calm and never give up
3.7779143,5.2164145,3.6442716,a black jacket with a skull on it
6.9718637,4.8160806,9.338709,a line graph showing the temperature and temperature of the greenhouse
3.2851582,1.8834565,6.674093,a christmas market in the middle of a town
4.787227,2.3155289,3.6118183,a plate with a sandwich and chips on it
6.7824273,4.86615,9.278577,a graph showing wage and salariess in different countries
4.3105645,5.793816,7.502285,a body of water next to a wooden dock
4.4124,4.2595305,3.5141137,a small pink handbag on a white background
4.7605925,4.522067,3.0597038,a close up of a bracelet with a heart on it
2.4814177,5.396809,3.8041325,a little girl standing with her hands on her hips
2.88194,1.4490783,6.584895,a living room filled with furniture and a large window
1.9871917,4.918587,6.6362886,a man signing autographs for a young boy
4.7324557,4.2631106,2.9369085,an antique ruby and diamond ring
2.895869,5.2708697,5.673764,a man standing at a podium in front of a microphone
3.042119,4.833866,5.4937706,a black and white photo of a man in uniform playing a trumpet
6.0725107,4.586434,3.9819398,a camera with a lens attached to it
2.7691367,5.4364195,4.104363,a red and white dress on a mannequin mannequin mannequin mannequin mannequin mannequin mann
2.7467906,5.1875734,5.16627,a man in a suit and tie posing for a picture
5.1460133,4.67811,7.07983,a tractor spraying a field with a sprayer
4.176951,1.3521937,5.7156496,a kitchen with white cabinets and white appliances
2.46832,5.44047,7.1393776,a group of people walking down a street holding signs
4.2634006,4.352743,3.4330385,a small pink purse with a chain strap
