dim1,dim2,dim3,url
9.517641,1.6043469,0.84668285,a table sawing machine on a white background
9.273113,1.9396063,1.7771759,a brown leather recliner chair on a white background
5.93327,2.004026,2.7278783,a black and white photo of a dog team pulling a sled
7.742401,0.5746693,0.90410477,a pair of key chains with a police officer on them
5.558746,3.8507082,1.9209297,this is a computer rendering of a house
6.0678325,4.72512,2.01789,a view of the grand canyon from the top of a cliff
5.736233,3.5381968,2.677482,a drawing of a tall tower with a clock on top of it
8.082079,2.5734303,-0.8216574,a close up of a sandwich on a plate
5.1390395,3.7517514,1.2870967,the cover of jude the obscure by thomas hardy
6.0089016,1.8756937,1.254689,an advertisement for shredded wheat with a picture of a man
7.7472672,0.905875,1.1551615,a person holding a gold necklace with a lion on it
7.7323365,3.408209,-1.2097675,a bunch of cupcakes sitting on top of a table
9.570031,1.4540535,1.4986366,a mountain bike is shown against a white background
5.7192197,2.3957129,2.8892174,a black and white photo of a cell phone
8.312046,1.848672,2.1444812,a bedroom with pink walls and a white bed
9.161883,1.7865427,1.5293577,a gallon of red diamond syrup on a white background
6.9309254,3.5052083,2.04546,a yellow taxi driving down a street next to a tall building
6.842985,4.366047,2.116885,boats are docked in the water next to a lighthouse
5.7037325,3.7242565,2.034715,a city street covered in snow next to tall buildings
5.775292,3.6553223,2.6139927,a large building with a clock tower on top of it
6.8380384,3.7565715,1.2170761,a white building with a green fence and trees in the background
5.6683865,2.4541354,2.9465122,an old black and white photo of a building
6.22268,2.815562,1.5104345,a person riding a snowmobile down a snow covered slope
7.9316034,3.9149597,-0.7575182,a pool table with several balls and a cue
8.084386,1.4917493,1.193285,a purple flower sitting on top of a green leaf
5.437606,3.0493217,-0.39260244,a group of people sitting around a table in front of a blackboard
3.7907608,4.984686,1.3640301,a bar chart that shows the number of people who are using voice - activated systems
8.588325,5.1654644,1.4820002,a bed with a black and white comforter and pillows
8.936915,4.03841,-0.47035992,a kitchen cabinet with a drawer full of items
5.439032,4.457861,2.0311103,a map of a campus with several buildings
7.3651814,0.86820966,2.2508185,a screenshot of a woman with red hair
8.9750395,1.8370405,-0.4735529,a water heater with a hose attached to it
7.9098125,2.880543,-0.36742207,a lot of pumpkins and flowers in pots
7.810265,3.5957193,-0.10134272,a long table with white flowers and candles
7.2397075,0.53576666,2.6925364,a woman wearing a silver skirt and black top
8.104826,4.999747,-0.03467738,a room with several chairs and a desk in it
8.722797,2.6472616,0.9868565,the champion logo on a blue background
7.500513,1.0493604,2.3832855,a woman with blonde and pink hair posing for a picture
7.5793304,3.579217,-0.77729464,a muffin sitting on top of a wooden table
7.820863,3.8739119,-0.93939036,a table with a drawer on top of it
6.242933,0.7281506,1.2940593,a close up of a person wearing a suit and tie
4.761069,2.3572495,-0.13193908,a group of women standing next to each other holding quilts
4.999915,1.9307708,-0.85101974,a man and woman standing next to each other
6.898476,1.03277,1.1436083,a baby girl's dress with a butterfly applique
6.5809855,0.95396787,2.1509674,a woman standing in front of a white background
7.7476716,4.2975283,-0.5115978,a wooden desk with a black leather chair
9.027094,4.9873667,0.99992007,a brown leather sectional sofa with recliners
4.448582,2.3011394,-0.04949687,a man holding a sign that says keep calm and never give up
7.453987,0.58354133,2.9326448,a black jacket with a skull on it
3.8741026,4.9032745,1.3167365,a line graph showing the temperature and temperature of the greenhouse
5.8396487,4.1389804,1.7537445,a christmas market in the middle of a town
8.080013,2.9943159,-0.8888118,a plate with a sandwich and chips on it
3.900473,4.9306107,1.3554307,a graph showing wage and salariess in different countries
6.844933,4.4033666,1.8496463,a body of water next to a wooden dock
8.584985,1.4171039,1.9806703,a small pink handbag on a white background
8.482367,0.9651682,0.40335724,a close up of a bracelet with a heart on it
4.825886,2.2476225,-0.6250857,a little girl standing with her hands on her hips
9.056745,5.6975803,0.49716467,a living room filled with furniture and a large window
5.223048,1.7299633,-0.7289619,a man signing autographs for a young boy
8.331324,0.97423714,0.93233085,an antique ruby and diamond ring
5.796638,1.3834208,1.310065,a man standing at a podium in front of a microphone
5.9664326,1.669937,2.611399,a black and white photo of a man in uniform playing a trumpet
9.005092,1.339823,-0.14259405,a camera with a lens attached to it
6.6261864,0.4830094,1.6331053,a red and white dress on a mannequin mannequin mannequin mannequin mannequin mannequin mann
6.084062,0.8668336,1.3773378,a man in a suit and tie posing for a picture
6.16483,2.878117,1.5525907,a tractor spraying a field with a sprayer
8.9585905,4.5827713,-0.8140417,a kitchen with white cabinets and white appliances
4.5196295,2.2956107,0.014937646,a group of people walking down a street holding signs
8.151806,1.1786093,2.0070505,a small pink purse with a chain strap
9.508541,1.3792036,1.0445175,a blue hose fitting on a white background
4.7780204,2.7275836,-0.43750814,a group of people standing next to each other in a courtroom
6.8079667,1.1194019,2.4016955,a painting of a woman in a colorful dress
