dim1,dim2,dim3,prompt
6.0662518,-4.70299,-4.1297913,a table sawing machine on a white background
9.098968,13.391012,-11.315764,a brown leather recliner chair on a white background
-19.747581,28.062136,-22.171991,a black and white photo of a dog team pulling a sled
-27.306131,-11.875177,12.947108,a pair of key chains with a police officer on them
22.862902,-1.6894522,29.364115,this is a computer rendering of a house
2.3152573,-31.637772,17.185675,a view of the grand canyon from the top of a cliff
-10.624916,-26.429459,6.7276316,a drawing of a tall tower with a clock on top of it
9.151223,-20.243502,-5.626826,a close up of a sandwich on a plate
-3.856224,19.549017,-31.089577,the cover of jude the obscure by thomas hardy
-25.06252,26.893328,-11.338013,an advertisement for shredded wheat with a picture of a man
-5.6549406,42.469803,6.069093,a person holding a gold necklace with a lion on it
7.6493015,-19.413929,-22.592844,a bunch of cupcakes sitting on top of a table
-10.444625,6.444538,26.499147,a mountain bike is shown against a white background
-5.050549,28.742214,-9.512311,a black and white photo of a cell phone
38.784943,10.926556,-6.0545816,a bedroom with pink walls and a white bed
-7.301446,30.828167,23.9704,a gallon of red diamond syrup on a white background
-4.2809973,-15.680622,19.726267,a yellow taxi driving down a street next to a tall building
0.7781237,-0.9341838,2.7579956,boats are docked in the water next to a lighthouse
-7.5472183,-18.043583,17.988113,a city street covered in snow next to tall buildings
-8.356164,-22.983746,8.310605,a large building with a clock tower on top of it
14.034856,10.197957,23.581312,a white building with a green fence and trees in the background
-12.088667,25.337006,-17.532358,an old black and white photo of a building
-15.619356,-10.816614,21.621592,a person riding a snowmobile down a snow covered slope
27.021357,-8.684903,14.483643,a pool table with several balls and a cue
17.918682,1.7933552,11.828935,a purple flower sitting on top of a green leaf
-4.333264,-10.883922,-19.415962,a group of people sitting around a table in front of a blackboard
28.913948,25.214905,1.8822976,a bar chart that shows the number of people who are using voice - activated systems
37.256683,8.398139,-15.885644,a bed with a black and white comforter and pillows
27.308504,-18.647928,-14.62382,a kitchen cabinet with a drawer full of items
14.809406,18.058582,7.5977063,a map of a campus with several buildings
-36.686863,-6.232627,-0.88815564,a screenshot of a woman with red hair
14.29046,-21.589308,6.911534,a water heater with a hose attached to it
14.159402,1.051227,5.373152,a lot of pumpkins and flowers in pots
18.03635,1.4993923,2.9366696,a long table with white flowers and candles
-37.207478,15.02819,10.581748,a woman wearing a silver skirt and black top
37.186665,-12.251588,1.7890005,a room with several chairs and a desk in it
6.2233386,29.873383,23.459566,the champion logo on a blue background
-35.81266,-7.0314164,2.4747698,a woman with blonde and pink hair posing for a picture
7.0552597,-19.11567,-17.67431,a muffin sitting on top of a wooden table
27.514416,-11.557494,-13.657655,a table with a drawer on top of it
-21.254984,14.9320135,1.4478244,a close up of a person wearing a suit and tie
-16.311733,-11.3446865,-21.349394,a group of women standing next to each other holding quilts
-25.068422,-9.516729,-21.68818,a man and woman standing next to each other
-52.703754,7.610277,1.7123339,a baby girl's dress with a butterfly applique
-31.532831,-8.2146,-9.502568,a woman standing in front of a white background
10.477025,13.335258,-7.467088,a wooden desk with a black leather chair
5.751347,15.839007,-11.112613,a brown leather sectional sofa with recliners
-15.329987,-19.847649,-32.280937,a man holding a sign that says keep calm and never give up
-11.799218,25.522934,2.0780003,a black jacket with a skull on it
23.578356,31.603521,-6.6204467,a line graph showing the temperature and temperature of the greenhouse
8.85241,-24.023834,22.549946,a christmas market in the middle of a town
9.554104,-22.728443,-3.6780577,a plate with a sandwich and chips on it
19.669624,32.94624,2.1433032,a graph showing wage and salariess in different countries
-5.502581,-0.29915723,9.090466,a body of water next to a wooden dock
-1.6717831,26.08211,26.046148,a small pink handbag on a white background
-2.7547257,22.750435,12.5398035,a close up of a bracelet with a heart on it
-37.985462,-10.302439,-11.236371,a little girl standing with her hands on her hips
36.038956,3.0976753,10.190486,a living room filled with furniture and a large window
-17.734339,13.491115,-13.712942,a man signing autographs for a young boy
-5.568389,33.38393,16.229902,an antique ruby and diamond ring
-25.430532,-8.923271,-3.4100666,a man standing at a podium in front of a microphone
-14.775817,19.448753,-10.377405,a black and white photo of a man in uniform playing a trumpet
-10.392185,9.6832075,16.332876,a camera with a lens attached to it
-49.504795,-0.63268185,7.8984127,a red and white dress on a mannequin mannequin mannequin mannequin mannequin mannequin mann
-20.339487,14.399909,-6.2253017,a man in a suit and tie posing for a picture
-11.265708,-34.985012,3.0218415,a tractor spraying a field with a sprayer
32.34207,-26.550926,-14.286496,a kitchen with white cabinets and white appliances
-12.529848,-26.996058,-11.40027,a group of people walking down a street holding signs
-19.575964,38.423454,8.780584,a small pink purse with a chain strap
-6.6820164,21.635145,31.278074,a blue hose fitting on a white background
-20.80107,-19.392902,-18.162563,a group of people standing next to each other in a courtroom
-36.78275,5.575844,-2.8319104,a painting of a woman in a colorful dress
-10.592569,-3.6147833,32.726486,a close up of a car with flames on it
-27.522118,6.511843,-12.764233,a woman and a child smiling for a picture
18.535751,5.3630466,13.46277,a painting of three white orchids with green leaves
-9.3743725,-4.345179,9.671189,a yellow raft floating on top of a body of water
-30.04464,36.779854,-6.311478,a person in blue gloves is reaching for something in a box
28.916264,-24.169996,-13.439177,a kitchen with black cabinets and white counter tops
29.120436,10.584387,25.762396,fluval power filterr for aquariums
34.000557,-9.146619,2.8078697,a classroom with red chairs and a projector screen
-44.67425,-0.36738235,-4.8593493,a woman in a wedding dress standing in front of a wall
-15.230632,-14.093863,23.320591,a pile of snow sitting on top of a snow covered ground
-12.672303,10.034454,-32.342052,a painting of a train track going under a bridge
-37.550423,6.6735783,2.7608168,a black and white photo of a woman in a dress
5.200054,9.087595,29.28176,a black 2019 subaruna parked in front of a white background
-5.4477105,27.403112,3.6876256,a helmet with the pittsburgh steelers logo on it
-10.847543,14.514788,-21.002842,a painting of a man holding a bird and flowers
5.3183637,7.090868,-21.984571,a knitted skull sitting on top of a blue blanket
17.459795,1.8269264,-16.52885,a row of glasses filled with drinks on a table
-4.1453977,33.708374,-23.06412,a red and white restaurant website design
-8.716942,27.824224,-16.154129,an old black and white photo of a town
43.46073,2.3265145,-10.165164,a bed room with a neatly made bed and a ceiling fan
5.0312104,-13.9433365,-14.931014,a wooden table sitting on top of a wooden floor
11.896213,-9.449668,38.545288,the interior of a car is clean and ready to be used
26.38549,-32.215996,-0.3829503,a kitchen with a stove top oven sitting next to a window
-2.1546507,-2.1657453,4.8478084,a couple of boats that are docked in the water
-7.9961867,12.858435,6.229824,a close up of a person holding a passport
31.776525,-14.65156,8.575913,a dinning room with a table and chairs
37.5521,-30.001303,5.348293,"a bathroom with a toilet, sink, and shower"
10.051571,14.934511,29.896238,a green hat on a white background
24.15059,27.932554,17.34739,institutional buying and selling by quarter for kt ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny
-21.732998,-15.404824,-10.253284,a group of people standing on top of a stage
17.088242,-15.334145,14.366209,a patio with a fire place and steps leading up to it
-49.503105,8.326987,3.2902193,a baby girl's pink dress and white pants
19.883753,4.470345,-6.0849614,a wine bottle decorated with berries and greenery
-2.8641708,-32.110146,18.75306,a view of a village in the mountains
-19.023624,6.5176325,-25.425879,a couple of fake cows standing next to each other
30.256794,1.4513593,-7.026456,a bed sitting in a bedroom next to a window
35.03845,12.994648,9.407372,a hallway decorated with christmas lights and decorations
-1.5087101,3.8232844,11.505893,a wooden model of a boat on a white surface
-16.34643,-17.449986,5.2616982,a construction worker standing in front of a building under construction
-33.819664,1.3945959,9.3748255,a woman wearing a bra and panties posing for the camera
39.581085,4.764302,15.936886,a living room filled with furniture and a fire place
43.16043,-19.385479,16.306602,days inn by wyndham
-19.580324,-5.39715,10.369141,a man riding a surfboard on top of a wave
-27.439783,-28.9025,-9.55606,a group of people that are playing drums
-5.6266026,-18.775389,14.203003,a drawing of a city street with a lot of tall buildings
53.3829,1.6650323,8.8375435,a living room filled with furniture and a flat screen tv
6.7320685,-4.6983857,-15.218929,a machine that is sitting on top of a table
-5.0189857,-1.0100768,-17.543335,a woman sitting at a table in front of a window
-2.6881745,2.9938724,4.1411543,a white catamaran docked at a dock
41.732937,-5.1803937,13.559605,a living room filled with furniture and a staircase
22.345932,11.507771,-15.026215,a bottle of courvoisir xo
-20.27351,-20.12086,-12.407578,a group of people standing in a room
24.164808,-30.044363,-0.78689456,a kitchen with a stove top oven next to a refrigerator
18.043184,2.7609596,-9.714378,a bottle of champagne sitting on top of a table
-28.190516,-9.07061,-6.4317946,a woman standing in front of a microphone
3.8420339,-17.413542,-26.089926,a bunch of balloons sitting on top of a table
0.8554799,-8.923468,-11.7063055,an old typewriter sitting on top of a table
-27.016687,31.991085,1.7575297,a blue sweater with a zipper on the chest
-4.6369967,-17.998205,9.69844,a very tall building with a lot of windows
-25.131338,-8.940581,-0.32165086,a man standing at a podium giving a speech
6.9592056,24.877705,-0.6640012,a close up of a car charger with a cable
5.642729,11.910999,-11.086782,a brown leather couch sitting on top of a white floor
-2.1289525,20.903063,21.03559,a close up of a pokemon figure on a white background
51.593872,-0.6336813,-6.1955967,a bed room with a neatly made bed and a flat screen tv
40.91033,12.133486,0.5875546,a room with wood floors and white walls
3.994312,-2.9282153,-38.662666,a group of four remote controls sitting next to each other
-0.2066848,-39.03796,-14.610898,a pen with a pen tip next to it
-7.956493,26.708725,16.957485,a diamond ring on a white surface
8.939808,9.759909,8.329757,a white office chair sitting on top of a white floor
-11.812546,37.289974,5.7628555,a blue and yellow striped glass pendant on a silver chain
-6.6239805,34.76675,9.223441,a silver ring with a purple stone in the center
11.017655,-9.421944,-14.748014,a bunch of rings sitting on top of a table
-9.427887,-6.6787524,14.665759,the sun is setting over a body of water
1.2581534,-0.3156572,31.467857,a black and silver motorcycle parked on a white surface
-11.605696,-4.2820187,-4.715695,a man holding a dog in front of a cabin
-40.268223,10.05797,2.6170776,a woman wearing a black and white dress
-27.85763,27.30731,-17.590372,a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture
-0.7849085,-37.874454,2.966284,a young boy laying in the grass with his hands on his face
5.5048614,-24.998058,-25.670525,a person is decorating a cake with icing
26.313862,-3.0427222,-0.18564281,a spiral staircase in a home with a skylight
1.8717781,11.487621,-4.008464,a fender guitar amplifier sitting on top of a white background
-13.751722,28.215721,-22.587877,a black and white photo of a tree
13.943893,27.749216,-6.0624866,a close up of a car dashboard with a clock
18.790289,-0.6689445,-3.0980597,a table topped with glass bottles filled with cactus and llamas
3.6013517,21.878271,27.509186,a black briefcase on a white background
-1.7535546,5.136447,-17.132065,a woman sitting on a couch holding a microphone
-0.12730521,-8.529574,-24.808851,a group of people sitting on the floor in a room
-35.584442,10.091469,14.950188,a woman wearing black stockings and high heels
35.592426,5.1174684,-16.737743,a bed with a brown comforter and pillows
-46.816395,-5.46396,1.5811304,a white dress with green buttons on a mannequin
18.242636,-1.9953012,-12.819243,two glasses of wine on a table with a view of a lake
-19.992865,17.003765,-1.1313994,a close up of a person wearing a suit and tie
-22.972914,-21.979883,-12.863957,a couple of people standing in a room
-6.9764266,-23.385834,37.82865,a large passenger jet taking off from an airport runway
22.26059,-22.660522,-21.231686,a box filled with assorted canned food items
51.47052,5.5157323,6.53945,a living room filled with furniture and a flat screen tv
-38.61119,-22.237534,-12.144094,a gym mat with a kettlebell on top of it
26.761578,-14.415484,13.867163,a patio with a table and chairs and a ceiling fan
39.218563,-3.9980404,5.331984,a couch and ottoman in a room
43.503384,-19.96309,-13.1377125,a child's playroom with wooden toys
-7.1757283,1.5288589,19.41087,a close up of a single fiber module
5.7819595,-0.82874316,-34.596188,a couple of hoses sitting next to each other
-8.870014,4.919077,-13.913903,a cartoon of a man sitting on top of a chair
42.65147,-2.8535802,-10.382864,a bed room with a neatly made bed
